title,artist,total_popularity_weight,spotify_id
Let Me Down Slowly,Alec Benjamin,2339699,2qxmye6gAegTMjLKEBoR3d
Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",2331795,6rPO02ozF3bM7NnOV4h6s2
It Ain't Me (with Selena Gomez),Kygo,2309006,3eR23VReFzcdmS7TYCrhCe
LA CANCIÓN,"J Balvin, Bad Bunny",2296684,0fea68AdmYNygeTGI4RC18
No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",2292761,2beS6dD5rovBxSA1zYoSHR
Head & Heart (feat. MNEK),Joel Corry,2283775,6cx06DFPPHchuUAcTxznu9
Ride It,Regard,2262780,2tnVG71enUj33Ic2nFN6kZ
That's What I Like,Bruno Mars,2252811,0KKkJNfGyhkQ5aFogxQAPU
you broke me first,Tate McRae,2243336,4l0RmWt52FxpVxMNni6i63
Adore You,Harry Styles,2241636,3jjujdWJ72nww5eGnfs2E7
everything i wanted,Billie Eilish,2240406,3ZCTVFBt2Brf31RLEnCkWJ
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2234133,4w8niZpiMy6qz1mntFA5uM
There's Nothing Holdin' Me Back,Shawn Mendes,2223436,7JJmb5XwzOO8jgpou264Ml
Too Good At Goodbyes,Sam Smith,2219738,1mXVgsBdtIVeCLJnSnmtdV
Astronaut In The Ocean,Masked Wolf,2217134,3Ofmpyhv5UAQ70mENzB277
The Middle,"Zedd, Maren Morris, Grey",2203984,09IStsImFySgyp0pIQdqAc
Wolves,"Selena Gomez, Marshmello",2202661,0tBbt8CrmxbjRP0pueQkyU
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2199464,3fvY2U1AzW0diYF0hnBbKt
Tusa,"KAROL G, Nicki Minaj",2198702,7k4t7uLgtOxPwTpFmtJNTY
More Than You Know,Axwell /\ Ingrosso,2191610,6h5PAsRni4IRlxWr6uDPTP
Save Your Tears,The Weeknd,2188910,5QO79kh1waicV47BqGRL3g
Blueberry Faygo,Lil Mosey,2186805,6wJYhPfqk3KGhHRG76WzOh
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","ZAYN, Taylor Swift",2181375,3NdDpSvN911VPGivFlV5d0
The Business,Tiësto,2166895,6f3Slt0GbA2bPZlz0aIFXN
good 4 u,Olivia Rodrigo,2144433,4ZtFanR9U6ndgddUvNcjcG
Moonlight,XXXTENTACION,2135903,0JP9xo3adEtGSdUEISiszL
Scared to Be Lonely,"Martin Garrix, Dua Lipa",2130794,3ebXMykcMXOcLeJ9xZ17XH
Sucker,Jonas Brothers,2129509,22vgEDb5hykfaTwLuskFGD
no tears left to cry,Ariana Grande,2121850,2qT1uLXPVPzGgFOx4jtEuo
Mi Gente,"J Balvin, Willy William",2119724,7COfe3P7KgfwDwIRB8LIDw
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2119658,6kex4EBAj0WHXDKZMEJaaF
Congratulations,"Post Malone, Quavo",2108155,3a1lNhkSLSkpJE4MSHpDu9
Callaita,"Bad Bunny, Tainy",2106155,71wFwRo8xGc4lrcyKwsvba
Con Calma,"Daddy Yankee, Snow",2074626,5w9c2J52mkdntKOmRLeM2m
Photograph,Ed Sheeran,2073380,1HNkqx9Ahdgi1Ixy2xkKkL
High Hopes,Panic! At The Disco,2043899,1rqqCSm0Qe4I9rUvWncaom
Solo (feat. Demi Lovato),Clean Bandit,2018806,6kPJZM97LwdG9QIsT7khp6
Wow.,Post Malone,2015603,7xQAfvXzm3AkraOtGPWIZg
rockstar,"Post Malone, 21 Savage",2010938,0e7ipj03S05BNilyu5bRzt
Silence,"Marshmello, Khalid",2010882,7vGuf3Y35N4wmASOKLUVVU
positions,Ariana Grande,1995823,35mvY5S1H3J2QZyna3TFe0
Beggin',Måneskin,1968255,3Wrjm47oTz2sjIgck11l5e
Otra vez (feat. J Balvin),Zion & Lennox,1957984,3QwBODjSEzelZyVjxPOHdq
WAP (feat. Megan Thee Stallion),Cardi B,1957649,4Oun2ylbjFKMPTiaSbbCih
What Lovers Do (feat. SZA),Maroon 5,1948661,0GxQ1A5L9xnMOytbP6eKBG
Calma - Remix,"Pedro Capó, Farruko",1914236,5iwz1NiezX7WWjnCgY5TH4
Dusk Till Dawn - Radio Edit,"ZAYN, Sia",1897665,3e7sxremeOE3wTySiOhGiP
Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",1894289,56f5qnyAlZdlz8wrUDA50h
Heat Waves,Glass Animals,1893216,3USxtqRwSYz57Ewm6wWRMp
MIA (feat. Drake),Bad Bunny,1889242,3Ueq2zboxwAbsvHrOjdEqz
I Feel It Coming,"The Weeknd, Daft Punk",1888914,3dhjNA0jGA8vHBQ1VdD6vV
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,1881820,5q2JbCNi4FcnglgPfxcV65
Galway Girl,Ed Sheeran,1878575,0afhq8XCExXpqazXczTSve
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",1867315,1xQ6trAsedVPCdbtDAmk0c
Break My Heart,Dua Lipa,1857182,017PF4Q3l4DBUiWoXk4OWT
STAY (with Justin Bieber),The Kid LAROI,1848750,5HCyWlXZPP0y6Gqq8TgA20
Dancing With A Stranger (with Normani),Sam Smith,1844662,6Qs4SXO9dwPj5GKvVOv8Ki
DÁKITI,"Bad Bunny, Jhay Cortez",1813508,47EiUVwUp4C9fGccaPuUCS
Stay (with Alessia Cara),Zedd,1805907,1W8wvLBnkqvuMiueK8lcPU
Psycho (feat. Ty Dolla $ign),Post Malone,1789000,3swc6WTsr7rl9DqQKQA55C
Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,1788385,1j6xOGusnyXq3l6IryKF3G
Paris,The Chainsmokers,1786703,72jbDTw1piOOj770jWNeaG
Toosie Slide,Drake,1782958,127QTOFJsJQp5LbJbu3A1y
Te Vi,"Piso 21, Micro TDH",1781301,059bcIhyc2SBwm6sw2AZzd
Intentions (feat. Quavo),Justin Bieber,1780477,4umIPjkehX1r7uhmGvXiSV
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",1779536,4pryE6cN2gFL1FVF5fYINl
Mama,"Jonas Blue, William Singe",1778447,7jEyX4bqaCSdMN4D4JNnVj
Life Is Good (feat. Drake),Future,1767680,5yY9lUy8nbvjM1Uyo1Uqoc
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,1767295,37BZB0z9T8Xu7U3e65qxFy
Lalala,"Y2K, bbno$",1758075,51Fjme0JiitpyXKuyQiCDo
Let Me Love You,"DJ Snake, Justin Bieber",1751937,0lYBSQXN6rCTvUZvg9S0lU
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,1749459,0PvFJmanyNQMseIFrU708S
Say So,Doja Cat,1747668,3Dv1eDb0MEgF93GpLXlucZ
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,1729691,7iDa6hUg2VgEL1o1HjmfBn
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,1729062,5CLGzJsGqhCEECcpnFQA8x
Starboy,"The Weeknd, Daft Punk",1721579,7MXVkk9YMctZqd1Srtv4MB
How Do You Sleep?,Sam Smith,1719268,6b2RcmUt1g9N9mQ3CbjX2Y
hot girl bummer,blackbear,1698963,6jRq8gaZhMUyy5RclRPcAf
Castle on the Hill,Ed Sheeran,1684644,6PCUP3dWmTjcTtXY02oFdT
Feel It Still,Portugal. The Man,1667685,6QgjcU0zLnzq5OrUoSZ3OK
Boy With Luv (feat. Halsey),BTS,1665387,4a9tbd947vo9K8Vti9JwcI
One Dance,"Drake, WizKid, Kyla",1662761,1zi7xx7UVEFkmKfv06H8x0
Bad Habits,Ed Sheeran,1661661,3rmo8F54jFF8OgYsqTxm5d
Promises (with Sam Smith),"Calvin Harris, Jessie Reyez",1658342,5N5k9nd479b1xpDZ4usjrg
Issues,Julia Michaels,1650714,7vu0JkJh0ldukEYbTVcqd0
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Funk Wav",1647933,5bcTCxgc7xVfSaMV3RuVke
In My Feelings,Drake,1647422,2G7V7zsVDxg1yRsu7Ew9RJ
Hawái,Maluma,1631307,1yoMvmasuxZfqHEipJhRbp
Rise,"Jonas Blue, Jack & Jack",1626634,5ZSl6gDoV6bPPxzmLeneV9
Échame La Culpa,"Luis Fonsi, Demi Lovato",1626365,0mlAOSILGRys2IbvyOT5VJ
Adan y Eva,Paulo Londra,1619677,132ALUzVLmqYB4UsBj5qD6
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,1619330,27NovPIUIRrOZoCHxABJwK
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,1618207,5Gu0PDLN4YJeW75PpBSg9p
Thinking out Loud,Ed Sheeran,1617014,34gCuhDGsG4bRPIf9bb02f
Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",1611260,5stPVcRqb4qixbafP9e8lt
Taste (feat. Offset),Tyga,1606319,5IaHrVsrferBYDm0bDyABy
Godzilla (feat. Juice WRLD),Eminem,1590520,7FIWs0pqAYbP91WWM0vlTQ
Vete,Bad Bunny,1588826,5DxXgozhkPLgrbKFY91w0c
bury a friend,Billie Eilish,1585425,4SSnFejRGlZikf02HLewEF
Sweater Weather,The Neighbourhood,1580711,2QjOHCTQ1Jl3zawyYOpxh6
La Curiosidad,"Jay Wheeler, DJ Nelson, Myke Towers",1574921,4HYDUMY0xSpeBr0AMY9cUz
Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",1567181,3V8UKqhEK5zBkBb6d6ub8i
If I Can't Have You,Shawn Mendes,1553957,2bT1PH7Cw3J9p3t7nlXCdh
Goodbyes (Feat. Young Thug),Post Malone,1547223,0t3ZvGKlmYmVsDzBJAXK8C
RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin",1546443,5NyS3oxTlos3Agl2YtZwrC
1-800-273-8255,"Logic, Alessia Cara, Khalid",1541811,5tz69p7tJuGPeMGwNTxYuV
Strip That Down,"Liam Payne, Quavo",1539362,4Ro98RCK90oHqqSZUnTFq5
Si Estuviésemos Juntos,Bad Bunny,1538562,35wvL50xvKpCHEJPxLOLPI
What You Know Bout Love,Pop Smoke,1537790,4xVmPboqdKG78mkqZ0sn1m
Felices los 4,Maluma,1536481,1RouRzlg8OKFeqc6LvdxmB
Without You (feat. Sandro Cavazza),Avicii,1535756,6Pgkp4qUoTmJIPn7ReaGxL
La player (Bandolera),Zion & Lennox,1534416,0VKkyBKCXyR99navhVRqcP
Nevermind,Dennis Lloyd,1532816,63SevszngYpZOwf63o61K4
Solo Dance,Martin Jensen,1527794,10AsRVRdU07cMAFHeGYO3c
Ransom,Lil Tecca,1518729,1lOe9qE0vR9zwWQAOk6CoO
deja vu,Olivia Rodrigo,1517854,6HU7h9RYOaPRFeh0R3UeAr
Sorry Not Sorry,Demi Lovato,1514024,0yvPEnB032fojLfVluFjUv
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers",1505055,4cG7HUWYHBV6R6tHn1gxrl
Call On Me - Ryan Riback Extended Remix,Starley,1503928,78rIJddV4X0HkNAInEcYde
XO Tour Llif3,Lil Uzi Vert,1503686,7GX5flRQZVHRAGd6B4TmDO
I Fall Apart,Post Malone,1502414,75ZvA4QfFiZvzhj2xkaWAh
Piece Of Your Heart,"MEDUZA, Goodboys",1494536,1DFD5Fotzgn6yYXkYsKiGs
Don't Call Me Up,Mabel,1489703,5WHTFyqSii0lmT9R21abT8
X,"Nicky Jam, J Balvin",1485483,6JjPBQfI2Y8nIjnm65X6Pw
If the World Was Ending - feat. Julia Michaels,JP Saxe,1483639,2kJwzbxV2ppxnQoYw4GLBZ
Fantasias,"Rauw Alejandro, Farruko",1470492,0A37XY67wSdGqkGjtfW6aV
Arcade,Duncan Laurence,1468344,1Xi84slp6FryDSCbzq4UCD
Robarte un Beso,"Carlos Vives, Sebastian Yatra",1466641,0JcNysfWVWaMS7R6vzGB2k
Let You Down,NF,1461103,52okn5MNA47tk87PeZJLEL
Stuck with U (with Justin Bieber),Ariana Grande,1460717,4HBZA5flZLE435QTztThqH
WITHOUT YOU,The Kid LAROI,1460077,1KMkcUvF7m3SDChDOa7i5L
Criminal,"Natti Natasha, Ozuna",1458782,6Za3190Sbw39BBC77WSS1C
ily (i love you baby) (feat. Emilee),Surf Mesa,1454759,62aP9fBQKYKxi7PDXwcUAS
Una Lady Como Tú,Manuel Turizo,1448286,7MHN1aCFtLXjownGhvEQlF
Havana,"Camila Cabello, Young Thug",1437074,1rfofaqEpACxVEHIZBJe6W
Mask Off,Future,1436134,0VgkVdmE4gld66l8iyGjgx
Better,Khalid,1435437,6zeeWid2sgw4lap2jV61PZ
Vaina Loca,"Ozuna, Manuel Turizo",1431571,48zFZh27QU5qsrBjn4C2FA
Lonely Together (feat. Rita Ora),Avicii,1427686,2OALaHcDdKkjYEpAr0Qzab
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus",1422016,2YpeDb67231RjR0MgVLzsG
2U (feat. Justin Bieber),David Guetta,1417253,3A7qX2QjDlPnazUsRk5y0M
Lose Control,"MEDUZA, Becky Hill, Goodboys",1413480,7CHi4DtfK4heMlQaudCuHK
UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny",1410491,0EhpEsp4L0oRGM0vmeaN5e
Heather,Conan Gray,1394779,4xqrdfXkTW4T0RauPLv3WA
i'm so tired...,"Lauv, Troye Sivan",1393753,7LpMG3AEaIJgs62HQhAa91
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1388504,3DXncPQOG4VBw3QHh3S817
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,1386188,06KyNuuMOX1ROXRhj787tj
"10,000 Hours (with Justin Bieber)",Dan + Shay,1385694,2wrJq5XKLnmhRXHIAf9xBa
Young Dumb & Broke,Khalid,1384266,5Z3GHaZ6ec9bsiI5BenrbY
Tutu,"Camilo, Pedro Capó",1380868,1nocRtwyNPVtGcIJqfgdzZ
Whoopty,CJ,1378876,5vGLcdRuSbUhD8ScwsGSdA
Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",1375165,3lR4O0vtkhCAvVEUEWUL0S
Lose You To Love Me,Selena Gomez,1372790,4l0Mvzj72xxOpRrp6h8nHi
All I Want for Christmas Is You,Mariah Carey,1371363,0bYg9bo50gSsH3LtXe2SQn
It's You,Ali Gatie,1371168,5DqdesEfbRyOlSS3Tf6c29
Rain On Me (with Ariana Grande),Lady Gaga,1371138,7ju97lgwC2rKQ6wwsf9no9
Faded,Alan Walker,1365868,7gHs73wELdeycvS48JfIos
Dior,Pop Smoke,1357757,3702l19pLmnSRKFEzDnVeM
Sin Pijama,"Becky G, Natti Natasha",1354938,2ijef6ni2amuunRoKTlgww
Soltera - Remix,"Lunay, Daddy Yankee, Bad Bunny",1354434,1c0hsvHLELX6y8qymnpLKL
Ella Quiere Beber - Remix,"Anuel AA, Romeo Santos",1351150,3f5lA8nnc4YYF1qf78WpHw
Tal Vez,Paulo Londra,1346600,5jW3rF4URMdK7tO2xjS5EI
Happier,Ed Sheeran,1345237,2RttW7RAu5nOAfq6YFvApB
Chantaje (feat. Maluma),Shakira,1336935,6mICuAdrwEjh6Y6lroV2Kg
Paradise (feat. Dermot Kennedy),MEDUZA,1327475,6ft4hAq6yde8jPZY2i5zLr
There for You,"Martin Garrix, Troye Sivan",1325426,6jA8HL9i4QGzsj6fjoxp8Y
Ahora Dice,"Chris Jedi, J Balvin, Ozuna, Arcangel",1323994,5lhcHMDQpNwhM62lSOrvLf
Woman,Doja Cat,1322898,6Uj1ctrBOjOas8xZXGqKk4
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,1314654,1NDxZ7cFAo481dtYWdrUnR
Se Preparó,Ozuna,1313144,1m69ELEgE6k5ZWsap40ozt
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1311731,1OAh8uOEOvTDqkKFsKksCi
No Promises (feat. Demi Lovato),Cheat Codes,1309483,1louJpMmzEicAn7lzDalPW
Natural,Imagine Dragons,1306954,2FY7b99s15jUprqC0M5NCT
China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",1306535,2ksOAxtIxY8yElEWw8RhgK
Robbery,Juice WRLD,1304866,6iaSML1PIYq936g62BDtBq
11 PM,Maluma,1304065,7KbF6AdprOXEEHlsq11Z6d
Sigues Con El,"Dímelo Flow, Arcangel, Sech",1301252,7sQKy5vlPQllr0k9IjYJv3
Pa Mí - Remix,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",1295172,7g8YaUQABMal0zWe7a2ijz
I WANNA BE YOUR SLAVE,Måneskin,1290678,4pt5fDVTg5GhEvEtlz9dKk
Jackie Chan,"Tiësto, Dzeko, Preme, Post Malone",1289345,4kWO6O1BUXcZmaxitpVUwp
Adicto (with Anuel AA & Ozuna),Tainy,1288197,3jbT1Y5MoPwEIpZndDDwVq
Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",1286115,2DEZmgHKAvm41k4J3R2E9Y
In Your Eyes,The Weeknd,1284602,7szuecWAPwGoV1e5vGu8tl
El Amante,Nicky Jam,1281943,3umS4y3uQDkqekNjVpiRUs
Supalonely,"BENEE, Gus Dapperton",1280477,4nK5YrxbMGZstTLbvj6Gxw
34+35,Ariana Grande,1279535,6Im9k8u9iIzKMrmV7BWtlF
No Es Justo,"J Balvin, Zion & Lennox",1278288,5qFeMRz4TvetPmzjre9Dq7
Take You Dancing,Jason Derulo,1276539,59qrUpoplZxbIZxk6X0Bm3
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),Enrique Iglesias,1275817,7nKBxz47S9SD79N086fuhn
Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,1273748,5JEx7HbmvHQQswJCsoo9rA
CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",1271690,2tFwfmceQa1Y6nRPhYbEtC
Me Niego (feat. Ozuna & Wisin),Reik,1266662,4ggiDYAkJ7Yk8d5xOr7Xjo
Ignorantes,"Bad Bunny, Sech",1264667,3wYRLYuO1M88d8woWUIxct
Un Año,"Sebastian Yatra, Reik",1262171,5BDP2tky8oMQJPS33frKVp
All The Stars (with SZA),Kendrick Lamar,1255942,7dMBU2Kf4vmvwfVLW6yb6P
Butter,BTS,1255082,1mWdTewIgB3gtBM3TOSFhB
Sunday Best,Surfaces,1250862,1qYKWcEOrh2tM8PlgIm8K1
Me llamas (feat. Maluma) - Remix,Piso 21,1248440,5hEM0JchdVzQ5PwvSfITeX
Body (feat. brando),Loud Luxury,1242168,7K7MUBCnzgBAvMVW2RTWNs
Si Veo a Tu Mamá,Bad Bunny,1238459,41wtwzCZkXwpnakmwJ239F
traitor,Olivia Rodrigo,1236250,5CZ40GBx1sQ9agT82CLQCT
Reggaetón Lento (Bailemos),CNCO,1224987,3AEZUABDXNtecAOSC1qTfo
Higher Love,"Kygo, Whitney Houston",1223377,6oJ6le65B3SEqPwMRNXWjY
Tattoo - Remix with Camilo,Rauw Alejandro,1222202,4ZRrLHqzhGRXYj2qcB4s5S
"Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)","Ozuna, Bad Bunny, Farruko, Ñengo Flow",1219527,2FrnTVSHjgnEylKGdHRUK1
Love Lies (with Normani),Khalid,1218965,45Egmo7icyopuzJN0oMEdk
Your Love (9PM),"ATB, Topic, A7S",1211751,5YaskwnGDZFDRipaqzbwQx
Rojo,J Balvin,1210200,4uziEsK1yiqdauKVDPsmVG
Lonely (with benny blanco),Justin Bieber,1209840,3S8jK1mGzQi24ilFb45DAZ
LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",1208589,2XIc1pqjXV3Cr2BQUGNBck
La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",1208503,1mohfLaTJtB2RplHLQVM70
Therefore I Am,Billie Eilish,1201796,20R4HfKloPKgXDqU7UKk3x
QUE PRETENDES,"J Balvin, Bad Bunny",1201055,25ZAibhr3bdlMCLmubZDVt
telepatía,Kali Uchis,1199568,6tDDoYIxWvMLTdKpjFkc1B
Con Altura,"ROSALÍA, J Balvin, El Guincho",1193373,2qG5sZ7Si6sdK74qLxedYM
Yummy,Justin Bieber,1191658,41L3O37CECZt3N7ziG2z7l
How You Like That,BLACKPINK,1189632,6bvZRLLkBKkmgpBJTTj3QK
La Santa,"Bad Bunny, Daddy Yankee",1187784,69vlMrzHwATKzupwNcUPyK
24K Magic,Bruno Mars,1186969,6b8Be6ljOzmkOmFslEb23P
Holy (feat. Chance The Rapper),Justin Bieber,1179400,6Xgq7MvZiet0hVi3KaDSgJ
Una Locura,"Ozuna, J Balvin, Chencho Corleone",1177127,5y7DaS3jAc9eZzcSOoUIwU
Cuando Te Besé,"Becky G, Paulo Londra",1174046,2XXMDz7SPZ4mSFN1PXfHUy
Kings & Queens,Ava Max,1168765,7a53HqqArd4b9NF4XAmlbI
Physical,Dua Lipa,1168257,3AzjcOeAmA57TIOr9zF1ZW
Treat You Better,Shawn Mendes,1167515,3QGsuHI8jO1Rx4JWLUh9jd
